value,date,geotrack,type_size,__name__,app,demo,job,repo,time_stamp
4,2022-09-19,BDDAC,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
0,2022-09-19,BEANR,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-19,BGVAR,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
4,2022-09-19,BRPGU,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
17,2022-09-19,BRSNT,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-19,CACAL,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
0,2022-09-19,CARGI,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
2,2022-09-19,CNHUA,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
3,2022-09-19,CNNTG,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
18,2022-09-19,CNOCQ,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
5,2022-09-19,CNZSH,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-19,CRSAN,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-19,CWWTD,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-19,ESTRG,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
3,2022-09-19,FRLEH,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
